epoch,round,memory_len,round_time,idle_time,loss_actor,loss_critic,loss_critic1,loss_critic2,q1_mean,q2_mean,target_q_mean,critic_grad_norm,actor_grad_norm,bc_reg_term,policy_updated,critic_warmup,total_updates,return_test,return_train,episode_length_test,episode_length_train,sampling_duration,training_step_duration,wall_time
7,4,15395.0,35.881759,0.0,-2.470376,0.070993,0.037123,0.03387,2.176057,2.176034,2.119635,1.524668,0.085356,0.027419,0.5,0.0,14900.5,9.5325,28.311251,95.75,364.125,0.022021,0.022269,1789805847.2157383
7,5,15395.0,9.266224,0.0,-2.471497,0.073695,0.037341,0.036354,2.19349,2.193441,2.13831,1.451242,0.090086,0.026895,0.5,0.0,15100.5,9.57,39.16,95.0,525.0,0.022999,0.0233,1789805856.7232425
7,6,15491.0,9.458547,0.0,-2.470215,0.074732,0.038639,0.036093,2.21197,2.21197,2.157311,1.500579,0.09642,0.027716,0.5,0.0,15300.5,9.57,10.140001,95.0,95.0,0.024794,0.022464,1789805866.2310734
7,7,15690.0,9.452899,0.0,-2.47119,0.072561,0.037069,0.035492,2.235108,2.234481,2.181349,1.564268,0.097079,0.026939,0.5,0.0,15500.5,9.57,9.868799,95.0,98.02,0.023856,0.023378,1789805875.738705
7,8,15880.0,10.24336,0.0,-2.470808,0.074721,0.038285,0.036436,2.260778,2.260601,2.206996,1.436142,0.100473,0.027476,0.5,0.0,15700.5,9.57,9.940099,95.0,94.0,0.023405,0.022764,1789805885.74586
7,9,16473.0,28.640032,0.0,-2.471011,0.079943,0.040413,0.03953,2.299037,2.298857,2.244346,1.521013,0.097783,0.027174,0.5,0.0,15900.5,9.57,32.108192,95.0,377.86,0.024889,0.023205,1789805914.7697985
8,0,16473.0,9.032218,0.0,-2.471898,0.077168,0.04028,0.036888,2.309492,2.309234,2.256505,1.432568,0.096265,0.026631,0.5,0.0,16100.5,9.57,48.989986,95.0,592.0,0.022708,0.022423,1789805923.7787788
8,1,16574.0,9.519777,0.0,-2.471935,0.071176,0.035956,0.03522,2.328272,2.328258,2.275624,1.529072,0.091292,0.026753,0.5,0.0,16300.5,9.57,9.690001,95.0,100.0,0.023968,0.023596,1789805933.2861676
8,2,16669.0,9.284483,0.0,-2.471525,0.071525,0.036596,0.034929,2.354806,2.35456,2.302024,1.447224,0.101101,0.027099,0.5,0.0,16500.5,9.57,10.110002,95.0,94.0,0.023726,0.022645,1789805942.7930484
8,3,16968.0,10.316492,0.0,-2.473832,0.078404,0.039453,0.038951,2.37437,2.374189,2.321293,1.527247,0.097252,0.024887,0.5,0.0,16700.5,9.6225,9.96875,94.75,98.75,0.023605,0.022925,1789805952.8009188
8,4,17070.0,10.48991,0.0,-2.472545,0.083011,0.042892,0.040119,2.405071,2.404722,2.352369,1.846819,0.101504,0.026235,0.5,0.0,16900.5,9.990005,9.6681,93.0,97.52,0.024687,0.022715,1789805963.3101897
8,5,17263.0,11.060348,0.0,-2.472255,0.080458,0.041186,0.039272,2.428458,2.428307,2.375604,1.585804,0.099861,0.026724,0.5,0.0,17100.5,9.990005,9.457051,93.0,97.095,0.023148,0.022091,1789805974.3182006
8,6,17461.0,14.60942,0.0,-2.472095,0.080453,0.041497,0.038956,2.442893,2.443057,2.391873,1.510132,0.095385,0.02649,0.5,0.0,17300.5,9.990005,9.425149,93.0,98.0,0.02503,0.022941,1789805989.3314269
8,7,17785.0,20.565567,0.0,-2.472039,0.077675,0.038858,0.038817,2.458015,2.45753,2.406655,1.550287,0.098058,0.026963,0.5,0.0,17500.5,9.990005,10.757101,93.0,119.4,0.024659,0.023106,1789806009.848986
8,8,17881.0,10.365913,0.0,-2.472595,0.085103,0.043321,0.041782,2.481739,2.481845,2.430526,1.604473,0.101494,0.026541,0.5,0.0,17700.5,9.990005,16.2666,93.0,219.15,0.023899,0.02287,1789806019.856534
8,9,18078.0,17.237216,0.0,-2.4731,0.074424,0.038211,0.036213,2.507469,2.507121,2.455696,1.504064,0.101936,0.025969,0.5,0.0,17900.5,9.916553,9.87115,95.26,95.805,0.023398,0.022712,1789806037.872926
9,0,18592.0,32.132019,0.0,-2.472729,0.089631,0.045724,0.043907,2.525327,2.525339,2.474945,1.603545,0.097607,0.026348,0.5,0.0,18100.5,9.860001,33.28661,97.0,339.12,0.027084,0.02348,1789806069.8978865
9,1,18592.0,10.522516,0.0,-2.473559,0.096467,0.049801,0.046666,2.53992,2.540617,2.489016,1.919259,0.100476,0.02584,0.5,0.0,18300.5,9.860001,50.20002,97.0,513.0,0.028113,0.024452,1789806080.4074926
9,2,19035.0,10.33502,0.0,-2.473396,0.080535,0.040713,0.039822,2.564837,2.565092,2.513111,1.563947,0.09742,0.025999,0.5,0.0,18500.5,9.860001,49.782822,97.0,508.87,0.024531,0.022122,1789806090.9183884
9,3,19035.0,9.204582,0.0,-2.473757,0.090687,0.047211,0.043476,2.577061,2.576833,2.526547,1.663654,0.099583,0.025708,0.5,0.0,18700.5,9.860001,8.480001,97.0,100.0,0.023349,0.022631,1789806099.9255147
9,4,19035.0,9.475172,0.0,-2.473953,0.090737,0.046574,0.044163,2.587783,2.588032,2.537903,1.729989,0.099007,0.025648,0.5,0.0,18900.5,9.860001,8.480001,97.0,100.0,0.024614,0.022719,1789806109.433482
9,5,19231.0,9.385916,0.0,-2.473822,0.089407,0.045719,0.043687,2.6174,2.617111,2.567786,1.609888,0.099122,0.02568,0.5,0.0,19100.5,9.860001,9.5772,97.0,97.82,0.02372,0.023154,1789806118.9441366
9,6,19426.0,9.958491,0.0,-2.473454,0.088371,0.045221,0.043149,2.635103,2.635123,2.58553,1.601739,0.10337,0.026211,0.5,0.0,19300.5,9.860001,10.129749,97.0,96.005,0.025915,0.023828,1789806128.9521332
9,7,19626.0,15.309628,0.0,-2.472979,0.093376,0.048027,0.045348,2.657039,2.656677,2.60692,1.612562,0.105849,0.026578,0.5,0.0,19500.5,9.928,9.712801,95.98,99.0,0.023951,0.022527,1789806144.4642496
9,8,19823.0,14.638473,0.0,-2.473154,0.085715,0.04402,0.041695,2.670937,2.671215,2.622386,1.642046,0.101418,0.026406,0.5,0.0,19700.5,10.06,9.771999,94.0,97.67,0.02485,0.023288,1789806158.9756484
9,9,20018.0,11.525254,0.0,-2.473515,0.090333,0.046128,0.044205,2.684337,2.684639,2.635484,1.586644,0.094746,0.02605,0.5,0.0,19900.5,10.06,9.6616,94.0,96.56,0.014363,0.013202,1789806183.997087
9,9,20234.0,16.242921,0.0,-2.472193,0.093742,0.047629,0.046113,2.7067,2.706779,2.658293,1.774721,0.10452,0.027406,0.5,0.0,20100.5,10.06,9.1801,94.0,105.17,0.013451,0.012683,1789806198.509734
9,9,21435.0,4.976145,0.0,-2.474663,0.095112,0.049061,0.046051,2.791939,2.792192,2.744317,1.800232,0.095798,0.02503,0.5,0.0,21300.5,10.06,9.690001,94.0,103.0,0.012672,0.012183,1789806278.5748158
